국가,위중증,치명(%),완치(%),발생률,인구수,위중증_합계,위중증1일,확진자_합계,확진자1일,사망자_합계,사망자1일,완치_합계,완치1일
미국🇺🇸,"21296
-523",1.6,76.1,133532,331002651,21296,-523,44055692,+113357,711222,+2103,+126125,+126125
인도🇮🇳,8944,1.3,97.8,24449,1380004385,8944,,33718984,+4743,447828,+129,+9420,+9420
브라질🇧🇷,8318,2.8,95.3,100676,212559417,8318,,21381790,+15395,595520,+818,+22052,+22052
영국🇬🇧,"831
-47",1.8,80.9,114476,67886011,831,-47,7736235,+34520,136375,+167,+36239,+36239
러시아🇷🇺,2300,2.8,88.9,51468,145934462,2300,,7487138,+22430,206388,+857,+18456,+18456
터키🇹🇷,633,0.9,92.4,84480,84339067,633,,7095580,+28892,63611,+239,+30336,+30336
프랑스🇫🇷,1609,1.7,96.4,107367,65273511,1609,,7002393,+6765,116615,+78,+12750,+12750
이란🇮🇷,"6016
-108",2.2,89.9,66350,83992949,6016,-108,5572962,+13271,120160,+272,+21564,+21564
아르헨티나🇦🇷,"1184
-16",2.2,97.4,116278,45195774,1184,-16,5253765,+1825,115038,+84,+1481,+1481
콜롬비아🇨🇴,542,2.5,96.8,97397,50882891,542,,4954376,+1686,126219,+41,+2588,+2588
스페인🇪🇸,"771
-66",1.7,95.8,106015,46754778,771,-66,4953930,+2290,86358,+60,+9489,+9489
이탈리아🇮🇹,"459
-29",2.8,95.1,77210,60461826,459,-29,4665049,+2962,130807,+65,+5105,+5105
독일🇩🇪,1435,2.2,94.5,50495,83783942,1435,,4221331,+9130,94140,+91,+11500,+11500
인도네시아🇮🇩,N/A,3.4,95.7,15404,273523615,N/A,,4213414,+1954,141826,+117,+3077,+3077
멕시코🇲🇽,4798,7.6,82.3,28351,128932753,4798,,3645599,+9792,276376,+700,+7337,+7337
폴란드🇵🇱,"174
+6",2.6,91.6,76812,37846611,174,+6,2905866,+1235,75623,+22,+17,+17
남아프리카 공화국🇿🇦,546,3.0,95.4,48913,59308690,546,,2898888,+1367,87417,+201,+2888,+2888
필리핀🇵🇭,3170,1.5,93.3,23270,109581078,3170,,2535732,+12767,38164,+478,+12089,+12089
우크라이나🇺🇦,177,2.3,93.4,55412,43733762,177,,2411622,+9666,56080,+217,+3281,+3281
말레이시아🇲🇾,"985
+7",1.2,91.0,68991,32365999,985,+7,2220526,+11332,25935,+240,+14160,+14160
페루🇵🇪,"1021
-4",9.2,N/A,65975,32971854,1021,-4,2174219,+865,199329,+15,,
네덜란드🇳🇱,"155
-5",0.9,N/A,116800,17134872,155,-5,2001347,+1755,18168,+6,,
이라크🇮🇶,"497
-19",1.1,95.3,49745,40222493,497,-19,2000869,+2254,22221,+34,+3389,+3389
일본🇯🇵*,"1002
-64",1.0,96.9,13444,126476461,1002,-64,1700326,+1982,17625,+48,+4440,+4440
체코🇨🇿,"38
+2",1.8,97.8,157951,10708981,38,+2,1690758,+470,30455,+1,+419,+419
