국가,위중증,치명(%),완치(%),발생률,인구수,위중증_합계,위중증1일,확진자_합계,확진자1일,사망자_합계,사망자1일,완치_합계,완치1일
미국🇺🇸,"20920
-376",1.6,76.1,133861,331002651,20920,-376,44201900,+146208,713969,+2747,+113744,+113744
인도🇮🇳,8944,1.3,97.8,24468,1380004385,8944,,33761481,+42497,448303,+475,+44436,+44436
브라질🇧🇷,8318,2.8,95.4,100805,212559417,8318,,21399546,+17756,596163,+643,+21458,+21458
영국🇬🇧,"826
-5",1.8,81.0,115002,67886011,826,-5,7771294,+35059,136525,+150,+36884,+36884
러시아🇷🇺,2300,2.8,88.8,51468,145934462,2300,,7511026,+23888,207255,+867,+18826,+18826
터키🇹🇷,633,0.9,92.4,84825,84339067,633,,7124966,+29386,63838,+227,+31018,+31018
프랑스🇫🇷,1609,1.7,96.5,107447,65273511,1609,,7008228,+5835,116657,+42,+10927,+10927
이란🇮🇷,"5093
-923",2.2,90.1,66518,83992949,5093,-923,5587040,+14078,120428,+268,+22019,+22019
아르헨티나🇦🇷,"1160
-24",2.2,97.4,116314,45195774,1160,-24,5255261,+1496,115130,+92,+1190,+1190
스페인🇪🇸,"731
-40",1.7,95.8,106066,46754778,731,-40,4956691,+2761,86397,+39,+5103,+5103
콜롬비아🇨🇴,542,2.5,96.8,97425,50882891,542,,4955848,+1472,126261,+42,+1992,+1992
이탈리아🇮🇹,"450
-9",2.8,95.1,77278,60461826,450,-9,4668261,+3212,130870,+63,+6042,+6042
독일🇩🇪,1435,2.2,94.2,50627,83783942,1435,,4233907,+12576,94207,+67,,
인도네시아🇮🇩,N/A,3.4,95.8,15410,273523615,N/A,,4215104,+1690,141939,+113,+2848,+2848
멕시코🇲🇽,4798,7.6,82.3,28351,128932753,4798,,3655395,+9796,276972,+596,+7899,+7899
폴란드🇵🇱,"172
-2",2.6,91.6,76812,37846611,172,-2,2907071,+1205,75650,+27,+352,+352
남아프리카 공화국🇿🇦,546,3.0,95.4,48942,59308690,546,,2900994,+2106,87525,+108,+1192,+1192
필리핀🇵🇭,3170,1.5,93.1,23270,109581078,3170,,2549966,+14234,38294,+130,+8149,+8149
우크라이나🇺🇦,177,2.3,93.1,55412,43733762,177,,2423379,+11757,56274,+194,+3839,+3839
말레이시아🇲🇾,"978
-7",1.2,91.2,69384,32365999,978,-7,2232960,+12434,26143,+208,+17000,+17000
페루🇵🇪,"1025
+4",9.2,N/A,65975,32971854,1025,+4,2175305,+1086,199367,+38,,
이라크🇮🇶,"482
-15",1.1,95.4,49806,40222493,482,-15,2003303,+2434,22260,+39,+3497,+3497
네덜란드🇳🇱,"152
-3",0.9,N/A,116899,17134872,152,-3,2003050,+1703,18170,+2,,
일본🇯🇵*,"936
-66",1.0,97.1,13456,126476461,936,-66,1701897,+1571,17666,+41,+4904,+4904
체코🇨🇿,"34
-4",1.8,97.8,157951,10708981,34,-4,1691489,+731,30459,+4,+187,+187
칠레🇨🇱,"378
-8",2.3,97.3,86537,19116201,378,-8,1654264,+858,37468,+13,+505,+505
캐나다🇨🇦,776,1.7,95.5,42945,37742154,776,,1620126,+4267,27819,+65,+4621,+4621
태국🇹🇭,3324,1.0,91.7,22972,69799978,3324,,1603475,+11646,16727,+107,+10887,+10887
방글라데시🇧🇩,"1355
-53",1.8,97.4,9448,164689383,1355,-53,1555911,+860,27510,+23,+979,+979
이스라엘🇮🇱,"639
-20",0.6,95.6,148139,8655535,639,-20,1279209,+3804,7734,+42,+9147,+9147
파키스탄🇵🇰,"3768
-180",2.2,93.9,5637,220892340,3768,-180,1245127,+1742,27729,+39,+2377,+2377
벨기에🇧🇪,"207
+1",2.1,92.8,107236,11589623,207,+1,1242821,+2589,25595,+14,+1386,+1386
루마니아🇷🇴,"1364
+44",3.0,90.7,64128,19237691,1364,+44,1233668,+12032,37041,+176,+8274,+8274
스웨덴🇸🇪,37,1.3,N/A,114155,10099265,37,,1152886,+859,14822,+8,,
포르투갈🇵🇹,"66
-2",1.7,95.5,104865,10196709,66,-2,1069279,+749,17975,+7,+626,+626
세르비아🇷🇸,"241
-2",0.9,85.3,107811,8737371,241,-2,941989,+7549,8234,+47,+5416,+5416
모로코🇲🇦,"459
-39",1.5,97.1,25279,36910560,459,-39,931973,+1082,14248,+23,+1774,+1774
카자흐스탄🇰🇿,221,1.3,92.8,47127,18776707,221,,884886,+2252,11178,+36,+2271,+2271
쿠바🇨🇺,"401
-20",0.8,95.9,77466,11326616,401,-20,877428,+5003,7436,+58,+7124,+7124
스위스🇨🇭,"175
-11",1.3,91.5,97099,8654622,175,-11,840359,+1141,11097,+10,+2695,+2695
요르단🇯🇴,"465
-15",1.3,97.2,80752,10203134,465,-15,822892,+1052,10710,+7,+1109,+1109
헝가리🇭🇺,"87
+6",3.7,95.4,85163,9660351,87,+6,822705,+633,30190,+5,+551,+551
네팔🇳🇵,N/A,1.4,96.3,27287,29136808,N/A,,795061,+898,11135,+12,+911,+911
베트남🇻🇳,N/A,2.4,77.0,8124,97338579,N/A,,790755,+11357,19301,+203,+25322,+25322
오스트리아🇦🇹,"220
-6",1.5,95.8,82507,9006398,220,-6,743095,+2049,11009,+11,+1775,+1775
아랍에미레이트🇦🇪,N/A,0.3,99.0,74415,9890402,N/A,,735992,+265,2097,+2,+351,+351
