영화댓글
초반 30분은 정말 역대급이였음.하지만 중반부로 갈수록 허술하고 아쉬운 점들이 한무더기로 나옴.그냥 가벼운 오락영화를 보려는 사람한테는 별점3점영화이지만 007팬들 입장에서는 다니엘 크레이그의 마지막 007을 이렇게 똥싸놓은게 너무 실망스러울거임.
뭐가 어떻게 되는건지 파악하다가 머리만 아픔...이해하기도 좀 어렵고...좀 더 단순하게 갔으면 좋았을텐데 여러모러 아쉽다란 생각입니다
마지막영화 재밌었다
시리즈 완결로서 적절한 서사들.돈 낭비는 안한듯.
일뽕 맞은 감독과 빌런만 빼면 완벽했던 영화.
역대급 노잼 시리즈 백인이 나오는 일본 영화
초반 카체이싱과 쉴틈없는 액션이 볼만합니다.  스토리 없는 공연보는 느낌으로 영화의 2/3 지점까지만 보시기를 추천
"호불호가 있지만 제 인생 최고 작입니다. 이전 스토리를 충분히 이해한다면 부족한 점이 있지만 그것을 충분히 뛰어 넘는 감동과 액션, 스토리로 되어 있습니다."
영화 보기 전에는 워낙 평점이 낮고 평가도 안좋아서 기대 1도 없이 봤는데..개인적으론 만점.지금까지 007 주인공을 바꾸는 방식에서 벗어난점은 충격이었지만그래서 더 완성도 높은 영화가 되지 않았나 싶다.그야말로 어른의 동화같은 느낌.. ㅎㅎ요즘은 조금만 눈물 날 장면이 들어가도 신파라 욕하는데이정도는 과하지도 않고 적당했던것 같다.보는 내내 지루한 부분 없이 잘 봤음.
일본인이 007에 독을 풀었다
난 분명 아메리카노를 시켰는데 믹스커피가 나온느낌?..  원하지않는게 많이 들어갔다
재밌었는데ㅠㅠ007처음 보는데 초반부터 액션 쩔어서 잼났음 전 편도 볼거야
역대급 망작  B급영화보다도 재미없음
"코로나2차 접종을 맞고 바로 향한 007.그 큰 1관 안에 나까지 포함 5명.첫 시작부분 에로틱한 분위기에 내 뒤에 있던 20대초?10대후?커플 숨소리가 커지는게 그대로 들린다.2시간30분쯤 되는영화코로나주사 탓인지, 영화 탓인지, 극장 분위기 탓인지 중간에 2~30분 잤다.  자고 눈떠도 계속 대화 대사 중.007시리즈는 대부분 안본  사람이 없을터이고이번에 노타임투다이 는 역대급 망작으로 남을듯 함"
시간가는줄 모르고 봤어요영상도 멋있고 라미 말렉을 다시 볼수있어서 좋았구 제임스본드가 죽을수 있다니 그건 안타까웠어요
"No Jam, To Die"
지루하기 짝이 없는 연극톤의 대사와 억지스런 스토리 덕분에 다니엘 크레이그의 007을 미련없이 보내줄수 있었다. 관람비추
스카이폴에서 정점을 찍고 이번작품은 많이 실망스러웠다.스펙터보다도 실망스러웠다.초반엔 정말 저번보다 100배나은 영화가 나오는줄알았는데 이야기가 전개될수록 너무 많은것을 담으려고한게 망친거같다.그래도 저정도 평점의 의미는 다니엘 크레이그의 투혼의 연기와 지금까지 5편의 007 제임스본드의 노고의 감사의미다.
역시 007. 초반 지루한면이 없지 않았지만 그래도 007은 007! 액션 끝판왕!
역시나 007의 클래식함은 어떤 첩보물도 따라갈 수 없다 역시나 오프닝 본드 테마는 장난 아니였다
초반 이태리 배경씬 멋있었는데… 갈수록 뭔가 집중도 떨어지면서 지루하기까지… ㅜㅜ 그리고 처음부터도 그렇고 곳곳에 일본스러운 거 나와서 이거 뭔 조합.;;
이런 명배우들과 거대자본으로 똥을 만드는 것도 대단한 능력이다
아마도 원래는 사핀이 바이러스 테러리스트인 플롯이었을 것임. (처음에는 천연두랑 에볼라 바이러스 취급하던 연구소에서 탈취된 것.) 그런데 코로나 사태에 바이러스 테러가 플롯에 들어갈 수 없고 무엇보다 중국 시장을 놓칠 수 없으니 이상한 “나노봇”으로 포스트 프로덕션에서 바뀌었을 것임. (나노봇 만드는 공장 보면 그냥 물에서 뭘 건지는데 그게 나노봇 생산 과정일 리 없고 바이러스 생산 시설이라고 보는게 맞음.) 사핀이라는 빌런 캐릭터의 서사도 그래서 이상해졌고 왜 쟤가 저렇게 하는 것인지 동기에 대한 설명이 부족해진 것일 듯 함.
다니엘 크레이그의 마지막에 아쉬움이 가득...
보면 볼수록 화가나는 영화입니다 왜냐면 흔한사랑얘기를 영화를 묘사한거 같습니다 그리고 요새중딩도 이런사랑 하지않습니다 때가 어느땐데..계속 기대를 하고 끝까지 봤지만 실망만 하고 나왔습니다
액션 역시 최고개인적으로 스토리도 만족
마지막 007…지루함이 전혀 느껴지지 않는 시간…
""
페미니즘유행이 빨리 지나가야되는데  지긋지긋하다
"다니엘 형의 007 은퇴작이라 기대를 많이 했건만 전형적인 용두사미. 초반 30분 정도는 기똥찬 풍경, 박진감 넘치는 액션 등으로 흡입력을 지니지만 이후 점점 루즈해지는 스토리는 하품을 계속 유발. 애매모호한 빌런의 캐릭터도 관객들의 긴장감을 유발시키기에는 역부족. 일본색이 들어간 것도 눈에 심히 거슬림. 레아 세이두는 전편에 이어 여전히 매력적."
평점테러하는 것들은 얼마나 명작을 기대하고 보는건가충분히 볼만한 영화인데
"20대초반에 다니엘크레이그를 처음봄 와 완전마초남 이젠 나도 30대후반 고생했어요 다니엘크레이그 내인생의 최고의 제임스본드,♡"
초반 오프닝이 영화의 전부후반으로 갈수록 대책이 안섬이런 결말이 최선이었나?가장 확실한 인질은 왜 갑자기 놔주며중요 고객이 온다는데 폭탄 제거 명령도 안내리고 마중 나간다?감독이나 각본이 후반부터 무슨 우환이라도 있었던 것인지? 이해가 가지 않음.
다니엘 크레이그에게 헌정하는 마지막 007이지만 결론을 그렇게 신파적으로 내야하는지 실망스럽다 갑자기 가족애 얘기가 넘 많고 여주와의 캐미도 별로. 특히 에러인건 악당이 왜 그런짓을 히는지 노이해 그 악역배우 연기가 증말 싫었다 다니엘 크레이그의 007은 카지노로얄과 스카이폴이 최고란걸 다시느낌
잘가요 영원한 나의 007
""
""
역시 007은 오리지날이고 다름 ㅋㅋ...굿
시리즈를 안 봤지만 남자친구 따라 보러 갔는데 처음 시작은 기대하게 만들고 완벽했어요 시리즈를 안 봤어서 사랑하는 여인이 아닌 부녀가 나온줄 알았습니다 먼저 보자던 남친은 잠들었고.. 저는 쭉 봤는데 뒤로 갈수록 아쉬웠어요 이어지는 부분을 모르니 좀 답답해서 앞 시리즈도 봐보려고요 주인공이 관리를 잘해서 여전히 멋있네요 다만 연인과는 정말 부녀지간 같았음
