거래일자,지역,연료원,발전량
2018-01-05,경상북도,석탄,2648.59448
2018-01-05,대구시,석탄,46.479384
2018-01-05,부산시,석탄,102.44592
2018-01-05,인천시,석탄,113116.1273
2018-01-05,전라남도,석탄,31193.44212
2018-01-05,전라북도,석탄,19137.795
2018-01-05,충청남도,석탄,348761.5266
2018-01-05,경기도,유류,14630.02342
2018-01-05,경상남도,유류,322.611534
2018-01-05,대구시,유류,574.094696
2018-01-05,대전시,유류,737.300928
2018-01-05,울산시,유류,17935.15244
2018-01-05,전라북도,유류,402.497484
2018-01-05,제주도,유류,7254.947112
2018-01-05,충청남도,유류,0
2018-01-05,충청북도,유류,1152.961488
2018-01-05,강원도,LNG,16957.41124
2018-01-05,경기도,LNG,241342.3985
2018-01-05,경상북도,LNG,8518.424858
2018-01-05,광주시,LNG,2268.617106
2018-01-05,대구시,LNG,7302.11552
2018-01-05,부산시,LNG,33186.90292
2018-01-05,서울시,LNG,935.905678
2018-01-05,세종시,LNG,12228.26662
2018-01-05,울산시,LNG,30842.70699
2018-01-05,인천시,LNG,69402.58096
2018-01-05,전라남도,LNG,41802.80709
2018-01-05,전라북도,LNG,10080.49182
2018-01-05,충청남도,LNG,27682.91696
2018-01-05,대전시,LNG,631.034292
2018-01-06,강원도,석탄,39437.89887
2018-01-06,경기도,석탄,1269.427488
2018-01-06,경상남도,석탄,159653.0243
2018-01-06,경상북도,석탄,2614.843168
2018-01-06,대구시,석탄,44.890104
2018-01-06,부산시,석탄,45.28368
2018-01-06,인천시,석탄,112348.1059
2018-01-06,전라남도,석탄,30972.35642
2018-01-06,전라북도,석탄,18399.97005
2018-01-06,충청남도,석탄,339994.2268
2018-01-06,경기도,유류,722.04972
2018-01-06,경상남도,유류,279.612144
2018-01-06,대구시,유류,589.294776
2018-01-06,대전시,유류,611.9512
2018-01-06,울산시,유류,12791.71053
2018-01-06,전라북도,유류,401.799456
2018-01-06,제주도,유류,6616.191232
2018-01-06,충청남도,유류,0
2018-01-06,충청북도,유류,1159.18488
2018-01-06,강원도,LNG,7889.97888
2018-01-06,경기도,LNG,179478.4657
2018-01-06,경상북도,LNG,4800.923147
2018-01-06,광주시,LNG,2041.123434
2018-01-06,대구시,LNG,7413.378
2018-01-06,부산시,LNG,11636.78061
2018-01-06,서울시,LNG,929.573612
2018-01-06,세종시,LNG,12135.14422
2018-01-06,울산시,LNG,13565.03111
2018-01-06,인천시,LNG,60644.25207
2018-01-06,전라남도,LNG,35216.0037
2018-01-06,전라북도,LNG,1741.94087
2018-01-06,충청남도,LNG,15494.30972
2018-01-06,대전시,LNG,422.526804
2018-01-07,강원도,석탄,39402.40129
2018-01-07,경기도,석탄,1120.419804
2018-01-07,경상남도,석탄,158650.3506
2018-01-07,경상북도,석탄,2567.03132
2018-01-07,대구시,석탄,23.975112
2018-01-07,부산시,석탄,0
2018-01-07,인천시,석탄,111804.0961
2018-01-07,전라남도,석탄,30282.44782
2018-01-07,전라북도,석탄,15908.69253
2018-01-07,충청남도,석탄,320155.9484
2018-01-07,경기도,유류,722.01192
2018-01-07,경상남도,유류,272.619186
2018-01-07,대구시,유류,573.570368
2018-01-07,대전시,유류,698.104064
2018-01-07,울산시,유류,12045.24595
2018-01-07,전라북도,유류,405.788664
2018-01-07,제주도,유류,7991.65948
2018-01-07,충청남도,유류,0
2018-01-07,충청북도,유류,1163.73264
2018-01-07,강원도,LNG,1171.69668
2018-01-07,경기도,LNG,153804.884
2018-01-07,경상북도,LNG,2492.646577
2018-01-07,광주시,LNG,1348.380068
2018-01-07,대구시,LNG,7836.63664
2018-01-07,부산시,LNG,12614.52917
2018-01-07,서울시,LNG,945.326711
2018-01-07,세종시,LNG,12138.23968
2018-01-07,울산시,LNG,12440.03121
2018-01-07,인천시,LNG,53383.4626
2018-01-07,전라남도,LNG,31121.20366
2018-01-07,전라북도,LNG,0
2018-01-07,충청남도,LNG,14797.95666
2018-01-07,대전시,LNG,494.404428
2018-01-08,강원도,석탄,39330.96554
2018-01-08,경기도,석탄,1321.136376
2018-01-08,경상남도,석탄,160780.4805
2018-01-08,경상북도,석탄,2601.04572
2018-01-08,대구시,석탄,57.41064
2018-01-08,부산시,석탄,113.43456
2018-01-08,인천시,석탄,112749.2104
2018-01-08,전라남도,석탄,30622.36781
2018-01-08,전라북도,석탄,15874.06947
2018-01-08,충청남도,석탄,337723.4818
2018-01-08,경기도,유류,14522.40929
2018-01-08,경상남도,유류,306.020904
2018-01-08,대구시,유류,575.633408
2018-01-08,대전시,유류,683.584944
2018-01-08,울산시,유류,18845.60367
2018-01-08,전라북도,유류,394.487628
2018-01-08,제주도,유류,6920.41616
2018-01-08,충청남도,유류,0
2018-01-08,충청북도,유류,1151.527188
2018-01-08,강원도,LNG,16822.06302
2018-01-08,경기도,LNG,236660.0108
2018-01-08,경상북도,LNG,8137.541094
2018-01-08,광주시,LNG,2355.39759
2018-01-08,대구시,LNG,7522.89496
2018-01-08,부산시,LNG,27589.6343
2018-01-08,서울시,LNG,930.121689
2018-01-08,세종시,LNG,12212.8963
2018-01-08,울산시,LNG,38867.6013
2018-01-08,인천시,LNG,69222.61278
2018-01-08,전라남도,LNG,38847.68982
2018-01-08,전라북도,LNG,7702.571131
2018-01-08,충청남도,LNG,27941.49661
2018-01-08,대전시,LNG,774.029172
2018-01-09,강원도,석탄,39343.17545
2018-01-09,경기도,석탄,1411.499796
2018-01-09,경상남도,석탄,163766.8682
2018-01-09,경상북도,석탄,2615.918816
2018-01-09,대구시,석탄,43.057728
2018-01-09,부산시,석탄,170.99136
2018-01-09,인천시,석탄,113358.587
2018-01-09,전라남도,석탄,30607.90246
2018-01-09,전라북도,석탄,15915.56345
2018-01-09,충청남도,석탄,348762.8001
2018-01-09,경기도,유류,16688.13451
2018-01-09,경상남도,유류,327.703572
2018-01-09,대구시,유류,572.553856
2018-01-09,대전시,유류,745.833872
2018-01-09,울산시,유류,23990.16087
2018-01-09,전라북도,유류,398.922072
2018-01-09,제주도,유류,7060.024496
2018-01-09,충청남도,유류,0
2018-01-09,충청북도,유류,1150.375716
2018-01-09,강원도,LNG,18447.80252
2018-01-09,경기도,LNG,243070.3958
2018-01-09,경상북도,LNG,8736.827925
2018-01-09,광주시,LNG,2724.937068
2018-01-09,대구시,LNG,7301.01624
2018-01-09,부산시,LNG,32244.02774
2018-01-09,서울시,LNG,926.771547
2018-01-09,세종시,LNG,12111.91442
2018-01-09,울산시,LNG,38534.60848
2018-01-09,인천시,LNG,74439.53942
2018-01-09,전라남도,LNG,41690.58086
2018-01-09,전라북도,LNG,10119.43374
2018-01-09,충청남도,LNG,29337.42375
2018-01-09,대전시,LNG,230.934648
2018-01-10,강원도,석탄,42827.81612
2018-01-10,경기도,석탄,1413.366192
2018-01-10,경상남도,석탄,164305.5861
2018-01-10,경상북도,석탄,2554.393184
2018-01-10,대구시,석탄,56.272776
2018-01-10,부산시,석탄,162.38448
2018-01-10,인천시,석탄,113686.4135
2018-01-10,전라남도,석탄,30805.44739
2018-01-10,전라북도,석탄,15972.20244
2018-01-10,충청남도,석탄,350694.1538
2018-01-10,경기도,유류,16687.80695
2018-01-10,경상남도,유류,192.796002
2018-01-10,대구시,유류,572.27968
2018-01-10,대전시,유류,914.456704
2018-01-10,울산시,유류,23880.762
2018-01-10,전라북도,유류,387.569928
2018-01-10,제주도,유류,7535.078096
2018-01-10,충청남도,유류,0
2018-01-10,충청북도,유류,1150.84662
2018-01-10,강원도,LNG,18847.5287
2018-01-10,경기도,LNG,255235.3149
2018-01-10,경상북도,LNG,9151.339776
2018-01-10,광주시,LNG,1542.106454
2018-01-10,대구시,LNG,7302.37032
2018-01-10,부산시,LNG,32534.50544
2018-01-10,서울시,LNG,590.472611
2018-01-10,세종시,LNG,11981.90235
2018-01-10,울산시,LNG,41038.00615
2018-01-10,인천시,LNG,75261.32144
2018-01-10,전라남도,LNG,43872.03982
2018-01-10,전라북도,LNG,10754.34226
2018-01-10,충청남도,LNG,30939.80937
2018-01-10,대전시,LNG,1053.519012
2018-01-11,강원도,석탄,52280.15952
2018-01-11,경기도,석탄,1405.580232
2018-01-11,경상남도,석탄,164513.0651
2018-01-11,경상북도,석탄,2650.351872
2018-01-11,대구시,석탄,44.37804
2018-01-11,부산시,석탄,162.864
2018-01-11,인천시,석탄,111379.7573
2018-01-11,전라남도,석탄,31264.85782
2018-01-11,전라북도,석탄,15861.17688
2018-01-11,충청남도,석탄,349816.0129
2018-01-11,경기도,유류,20134.23195
2018-01-11,경상남도,유류,209.281926
2018-01-11,대구시,유류,525.50624
2018-01-11,대전시,유류,852.403104
2018-01-11,울산시,유류,24498.19533
2018-01-11,전라북도,유류,370.278876
2018-01-11,제주도,유류,8848.078232
2018-01-11,충청남도,유류,0
2018-01-11,충청북도,유류,1131.16626
2018-01-11,강원도,LNG,20042.04902
2018-01-11,경기도,LNG,259523.0979
2018-01-11,경상북도,LNG,9578.55842
2018-01-11,광주시,LNG,2824.898776
2018-01-11,대구시,LNG,7305.49736
2018-01-11,부산시,LNG,38618.81158
2018-01-11,서울시,LNG,533.923452
2018-01-11,세종시,LNG,11958.71678
2018-01-11,울산시,LNG,51608.2062
2018-01-11,인천시,LNG,82023.36106
2018-01-11,전라남도,LNG,45051.21658
2018-01-11,전라북도,LNG,13671.93252
2018-01-11,충청남도,LNG,36443.93146
2018-01-11,대전시,LNG,380.877756
2018-01-12,강원도,석탄,52359.18494
2018-01-12,경기도,석탄,1407.416892
2018-01-12,경상남도,석탄,163674.006
2018-01-12,경상북도,석탄,2674.674296
2018-01-12,대구시,석탄,43.4574
2018-01-12,부산시,석탄,160.6608
2018-01-12,인천시,석탄,104992.115
2018-01-12,전라남도,석탄,32069.39152
