,앱명,개발사,상승률, 업종 대분류, 업종 소분류
126,아이디어스(idus) - 작품구매부터 취미생활까지!,Backpackr Inc.,0.70%,가정/생활,생활용품
127,케이뱅크 (Kbank) - make money,케이뱅크,3.90%,금융,은행/뱅킹서비스
128,에이블리 - 2천만의 AI 쇼핑메이트,"ABLY Corp., Inc.",-0.60%,패션/의류,여성의류
129,마이 케이티,KT Corporation,10.20%,가정/생활,공과금
130,"원기날씨 - 미세먼지, 기상청, 날씨",WonGi Chae,-23.28%,라이프스타일,날씨
131,번개장터 - 취향을 잇는 중고거래,번개장터 주식회사,0.75%,쇼핑,중고거래
132,"Microsoft Office: Word, Excel, PowerPoint 외",Microsoft Corporation,1.39%,생산성,문서
133,호갱노노 - 아파트 실거래가 조회 1등 부동산앱,호갱노노,-6.21%,금융,부동산
134,라인 LINE,LINE Corporation,1.38%,소셜네트워크,메신저/전화/영상통화
135,후스콜 – 스팸차단 앱,Gogolook,0.97%,유틸리티,광고차단
136,"폴라리스 오피스 - 무료 한글, 오피스 문서 + PDF, 텍스트 뷰어",Polaris Office Corp.,-0.17%,생산성,문서
137,V3 Mobile Plus,AhnLab Inc.,-1.80%,유틸리티,보안
138,클래스팅 - 온라인 수업 플랫폼,Classting Inc.,-2.70%,가족,학부모
139,아이엠스쿨 - 한국 1위 알림장,NHN Edu Corp.,-2.84%,가족,학부모
140,KB Pay,KB국민카드,-0.47%,금융,신용카드
141,U+ 고객센터,LG유플러스(LG Uplus Corporation),59.30%,정보/통신,유/무선통신
142,신한카드,SHINHANCARD,-13.17%,금융,신용카드
143,다음 메일 - Daum Mail,Kakao Corp.,-2.02%,소셜네트워크,메일
144,WeChat,WeChat,-2.82%,소셜네트워크,메신저/전화/영상통화
145,지하철 종결자 : Smarter Subway,TeamDoppelGanger,7.92%,여행/교통,대중교통
146,카카오페이,kakaopay corp.,18.28%,금융,송금/결제
147,똑똑계산기 - 다용도 계산기,Cleveni Inc.,1.41%,유틸리티,계산기
148,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,-1.61%,게임,카지노게임
149,인천e음,"KONA I CO., LTD",0.82%,금융,송금/결제
150,계산기,Google LLC,1.43%,유틸리티,계산기
151,코레일톡,한국철도공사,6.58%,여행/교통,대중교통
152,블라인드 Blind - 직장인 커뮤니티,TeamBlind,4.18%,소셜네트워크,SNS/커뮤니티
